Date,Close,High,Low,Open,Volume,rolling_mean_5,rolling_std_5,volatility,price_change_pct,biendong,tangtoida,giamtoida,target
2024-04-04,0.03552617809892186,0.04122652508148575,0.042085256235585095,0.04157895456456728,0.26970011479611894,0.03954545272912091,0.08775916105116222,0.08184538347890935,0.22066029909640258,0.0378085186168429,0.06875990820469093,0.09356743540665628,-1
2024-04-05,0.045092998572697135,0.04048892919829175,0.03980451680867675,0.036210531210436964,0.13700838168923274,0.037590398629324284,0.07704472065193502,0.09281024661978962,0.3441355060233397,0.05607188203262062,0.10373609818992945,0.05847956347347334,1
2024-04-08,0.03751479871290153,0.045177948825436826,0.041759448154691264,0.04768421679679036,0.11583400166690254,0.037790347873759955,0.07537801527006693,0.11356520881790111,0.21321620594364185,0.04421662195612646,0.05246420916909963,0.16491235114864836,-1
2024-04-09,0.03133398853893196,0.03627408122434003,0.04099920167905513,0.040000011243318034,0.08562532433834975,0.03173633850050245,0.03081792292662458,0.05286662454008075,0.2222487230156007,0.035886014279016255,0.04332273425815975,0.08771934521021002,-1
2024-04-10,0.01569387306222561,0.02103738017357948,0.023730669076143962,0.027368424518616846,0.24860436225252003,0.026293283268589485,0.08481469232265892,0.06414474814426441,0.1463128499836362,0.09227813036117022,0.02376786509194721,0.13333333333333333,-1
2024-04-11,0.028807915084829577,0.030267900251230745,0.025305456469177617,0.017105262814466338,0.24175590885502668,0.024904749203047416,0.08510728012193478,0.12139731794069683,0.3806044601310274,0.0772188186150344,0.17090614511858282,0.002339236078578344,1
2024-04-12,0.016661304576455843,0.017149184676182233,0.02612001810173792,0.02457895731516474,0.06549668978314539,0.019028472020680476,0.07122731337756649,0.018013895797947745,0.17289544341899854,0.07145142782829024,0.015500768397572666,0.07660830845970919,-1
2024-04-15,0.0044609364825628495,0.007876499035507939,0.012652738592170254,0.016526312245292385,0.1777138274284097,0.012196882723225472,0.08482168590418546,0.046209279500934126,0.16725939523537658,0.07177190633129606,0.006359293486632793,0.13216371529404375,-1
2024-04-16,0.01058798907101316,0.008087246458700681,0.01069780724615571,0.008947372256883884,0.04015505338805804,0.007909088850836327,0.06615847307324563,0.06187349774652642,0.32430194940119633,0.03556553577601021,0.06518279614236522,0.06900590274524501,1
2024-04-17,0.0,0.0,0.00733099254755451,0.00842106450891869,0.07591483071503828,0.0046654710702457025,0.08833300931054552,0.02604169934464775,0.17837260275705644,0.06215962909563459,0.008147773709037496,0.09941530252127086,-1
