Date,Close,High,Low,Open,Volume,rolling_mean_5,rolling_std_5,volatility,price_change_pct,biendong,tangtoida,giamtoida,target
2024-01-08,0.003197235048462921,0.0,0.0,0.0,0.41393842484687515,0.0,0.10271306240956773,0.08505671751214602,0.5009512058886558,0.10390254891342923,0.13293562383292426,0.07824365499575331,0
2024-01-09,0.0,0.004223694647575438,0.008570072797825734,0.004315404580093718,0.39468263862539976,0.005884298096396456,0.11597705968107777,0.029920807650000714,0.42430513628827504,0.019046244687878498,0.1316939188998648,0.03070691370365694,0
2024-01-10,0.033895600374000745,0.035519389832063375,0.018201539033682268,0.013885422891768306,0.7855484488770845,0.019617814518587795,0.185264758170066,0.3166280933588777,0.5602968629524289,0.20191943625668513,0.39663240397349303,0.03218373089343321,1
2024-01-11,0.03181629030072364,0.035112428543213725,0.02816990378207851,0.044245917490793985,0.5636845718828482,0.03152900414029458,0.16740031010035716,0.18263036761963797,0.4286331392717443,0.012386655293499636,0.02018863774380505,0.2716362097578749,0
2024-01-12,0.04434515683768658,0.0460023563039339,0.045284166621157085,0.03924506631292146,0.6587484416499539,0.043434913727320223,0.1543880958199651,0.10477091158935442,0.480416488695902,0.07463569431327366,0.2143119733561017,0.018305749686564166,0
2024-01-16,0.026071564627264565,0.04231292189894642,0.03930319984745401,0.04810432966001621,0.47793014978228265,0.04808316382797384,0.12063222976979032,0.13350801890371544,0.3720277433570367,0.10885759204144935,0.060876809472875285,0.18955406347035156,0
2024-01-17,0.02843693173846007,0.024324147773896354,0.01698465339537325,0.029446330553971056,0.36129781198619615,0.05386177999944308,0.02125166174692198,0.1853041581991024,0.4444280863901017,0.014090725296580174,0.06957443965316905,0.22705217936562597,0
2024-01-18,0.04860803030381766,0.04546793551998385,0.048934745750718656,0.04262110686796072,0.5252407537897266,0.056851465606032825,0.052092889166425925,0.050637408450764365,0.5077675797576011,0.1201612246443386,0.16648064454314218,0.015943192239193087,1
2024-01-19,0.06763554030841867,0.0645763086563722,0.06711063408405027,0.061685337936621676,0.7653847543678971,0.06413022898486898,0.12356361122308168,0.06701086425883979,0.5023013119938766,0.11334875473822437,0.16647971896652747,0.030411368447762505,0
2024-01-22,0.06329447685260514,0.07981711345826359,0.07536992190217517,0.08440479193722639,0.5851446329521022,0.06798088516970835,0.1479567620032177,0.16057576765550247,0.4211504236865726,0.025860143383821137,0.07454316534954852,0.200479299243979,0
2024-01-23,0.07218439086360351,0.07480472831544294,0.07775193672894021,0.07595161522246852,0.4869279274396082,0.0773513870878556,0.1330507332463909,0.06400457343290511,0.466513198258681,0.05295809502309554,0.11678489826435422,0.07499536327018934,0
2024-01-24,0.08648092679921926,0.09457455868435605,0.09258778004227886,0.08960873990875473,0.49561855204437455,0.08914639970031513,0.09102748316888865,0.13217213191007676,0.48464066227083713,0.08516587535523383,0.19101717081228986,0.06466121252722332,0
2024-01-25,0.09292728370933956,0.09289523837376779,0.08702111743124197,0.09004029816271408,0.46818255732018,0.09815243300911336,0.07960681309682313,0.18196138198037598,0.4576180859643742,0.038401584242161876,0.16523705802102556,0.13316089912787304,0
2024-01-26,0.09542272762341208,0.09620297496485586,0.10237471498829265,0.10065117408142032,0.38112273474623737,0.10379901582103102,0.09189198204052695,0.027246959805381832,0.4443097841824235,0.014865605647340326,0.07578582347811294,0.08149103869950802,0
2024-01-29,0.11330632927179773,0.11182545977606528,0.10628437633092902,0.10227579797048503,0.6331101956745623,0.11396183162031137,0.10311805942477273,0.18196138998516997,0.4954668910648695,0.10653437977900351,0.2466143601288394,0.05580298168176649,0
2024-01-30,0.11081096530659007,0.12055267138254844,0.12303614370893567,0.12410685540403044,0.6273420420257647,0.12181106619236692,0.0695842105068899,0.08037698970553009,0.4278336533814858,0.014865129384062118,0.08603512110681498,0.11869272908995934,0
2024-01-31,0.0850252178706501,0.09928160788659457,0.09074944078493707,0.08707017885302648,0.6980821002041664,0.12151525428013443,0.07401181888680136,0.2177165433450956,0.35150198715890524,0.1536082420217568,0.2795375811953264,0.05609852222326392,-1
2024-02-06,0.2528921701679605,0.27514909720491354,0.26137391213129735,0.27745705062121206,0.7646801091296728,0.15402142225418636,0.6657018970758914,0.32531551600443753,1.0,1.0,0.09690620467881572,0.3247819442185731,1
2024-02-07,0.2915448878897058,0.28634451304443265,0.26960752498820584,0.2622262505181049,0.8284053336224185,0.19387504279671208,0.9314262871186082,0.36608292911091916,0.5474140452095747,0.23025805373107053,0.41992725845935674,0.05373687231480683,1
2024-02-08,0.2926106062562386,0.28397822719985677,0.2925214308035736,0.28842348292818765,0.6363940231629537,0.23031113246086365,1.0000000000000002,0.03927616950343432,0.4389651168607546,0.006348589474867355,0.07050525247410325,0.09713958961442792,0
2024-02-09,0.287697908417776,0.29161150912273737,0.29883908863926656,0.30017685619398626,0.6182358574087123,0.2662560001907962,0.8786337807804958,0.05798897487261637,0.4222888919716762,0.02926542581032627,0.019877738492022626,0.16180082002018054,0
2024-02-12,0.28975123511002354,0.305758064688914,0.29653451949844334,0.2880934151709592,0.6620006504417584,0.30785799455574836,0.12361282355158859,0.2735214244041378,0.4417400538867259,0.012231869728658534,0.34041439259381284,0.047536737948135996,0
2024-02-13,0.2669287923444166,0.2771083822363163,0.26678527403214247,0.25935764897737223,0.7313178672737456,0.3107103505218446,0.058763603590320006,0.28120742670268073,0.3721898076517809,0.13595554368072466,0.3422788447824068,0.05255559042350408,0
2024-02-14,0.30113651308623,0.2929344079001013,0.29526590621322,0.28743342338534494,0.548010732289013,0.3126594468934599,0.07952572689807222,0.12147881588075066,0.5334431990283679,0.2037787680878841,0.19194892024196997,0.054327058781900486,1
2024-02-15,0.329079680636265,0.3298533752971078,0.3111373518830799,0.30609134283142125,0.8801832077619384,0.32007025987810833,0.1847367309295189,0.4015035987522981,0.5133828495423329,0.1664602065363326,0.41433671405747335,0.09034836730299838,1
2024-02-16,0.301240446610348,0.30527460560729325,0.30334395878022324,0.31327519669911863,0.8400861835329828,0.3228222139539586,0.18191784425422122,0.17928854630208485,0.3605979835969711,0.16584106427696818,0.02640096096071458,0.26277795054732167,-1
2024-02-20,0.297159296913694,0.298201106876522,0.29648262030448447,0.2919771626722468,0.6002764377473033,0.3243275924572252,0.1776542406042469,0.17494429281215657,0.42468789320145695,0.024311811472133685,0.2006455764868566,0.09330109775778705,0
2024-02-21,0.2887805759436264,0.2811987107857241,0.28540113814627366,0.2850597842736543,0.37019621659710555,0.3287680528853473,0.10591228267802005,0.09466769077108242,0.41270893570719636,0.0499128676335773,0.07773171382739125,0.13921302655441561,0
2024-02-22,0.3358790117840629,0.33466187121058444,0.32238736589745554,0.31997563175261,0.7633521238730193,0.33582801162699394,0.16416175825801,0.31946032017446047,0.5677595353355451,0.2805700299902988,0.3031536788430103,0.12354787204229757,1
2024-02-23,0.3304146667791281,0.3457927283447926,0.33869050863325023,0.33982241504760735,0.6164832782264621,0.33609929168578445,0.16735514729810191,0.2552334576922815,0.42127164586847177,0.032551642417721974,0.19619478687689745,0.1684741424624632,0
2024-02-26,0.324455758097121,0.3248557826034657,0.33415467769072926,0.32818379530513775,0.3331391041971561,0.3408168320877164,0.1668712206753809,0.038804638975873273,0.4198698660006266,0.03549780704574369,0.0830178936200156,0.08482833523889556,0
2024-02-27,0.3382729206399586,0.32773381046407435,0.33239210351129456,0.3193149756634458,0.2747890581241983,0.3491714553331974,0.15784666807441813,0.09935033478954408,0.4735469695009466,0.08231020074973372,0.2266649904322996,0.0017733453773075042,0
2024-02-28,0.3303886034492338,0.3373618829353142,0.3397272325205559,0.33207181241165384,0.36087773501725473,0.35762654545396655,0.0038041972399581944,0.1311294831260416,0.4147933857209526,0.04696765553210757,0.18811038180431916,0.06650316372460269,0
2024-02-29,0.3462876344290191,0.33901755889661755,0.3393643415938573,0.3408135100220123,0.5874708656295734,0.35974166236221994,0.03578675439310352,0.1575573052069808,0.479002168957983,0.09471209646807925,0.10136246690645341,0.1723175931909156,0
2024-03-01,0.37795537973911886,0.37098332396003864,0.36331340696812864,0.3501395620393989,0.5215955697689125,0.3694023224939259,0.1661704693957863,0.2682799271658589,0.5205935376520034,0.18864788379557082,0.3774656719604964,0.007684196386425681,1
2024-03-04,0.367260700056244,0.3714163731592093,0.3751583772376187,0.3778131249065747,0.3431983666684735,0.37810063538150274,0.1558354636459989,0.12109449960777197,0.4081107020561057,0.06370926222532117,0.044152033005985136,0.19448440546713058,0
2024-03-05,0.34652172470487863,0.34890007387241906,0.3530495097495566,0.3574835939018649,0.47876126980685496,0.379776859560793,0.14424207340679757,0.11072365443902282,0.3814805860255488,0.12354412269685043,0.018033340312949814,0.21014955132674035,0
