Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-01 16:00:00-05:00,4.94,5.33,7.88
2024-04-24 16:00:00-04:00,4.32,4.71,8.92
2024-07-31 16:00:00-04:00,4.76,5.16,8.45
2024-10-30 16:00:00-04:00,5.29,6.03,13.94
2025-01-29 16:00:00-05:00,6.76,8.02,18.67
2025-04-30 16:00:00-04:00,5.22,6.43,23.11
